order,schedule,seed,step,task,accuracy
antidevelopmental,staged,2,1000,supplement_fast,48.8
antidevelopmental,staged,2,1250,blimp_fast,54.87
antidevelopmental,staged,2,1250,entity_tracking_fast,13.33
antidevelopmental,staged,2,1250,ewok_fast,52.45
antidevelopmental,staged,2,1250,supplement_fast,48.8
antidevelopmental,staged,2,1500,blimp_fast,56.63
antidevelopmental,staged,2,1500,entity_tracking_fast,14.94
antidevelopmental,staged,2,1500,ewok_fast,50.73
antidevelopmental,staged,2,1500,supplement_fast,44.4
antidevelopmental,staged,2,1750,blimp_fast,56.54
antidevelopmental,staged,2,1750,entity_tracking_fast,19.37
antidevelopmental,staged,2,1750,ewok_fast,50.55
antidevelopmental,staged,2,1750,supplement_fast,46.0
antidevelopmental,staged,2,2000,blimp_fast,54.58
antidevelopmental,staged,2,2000,entity_tracking_fast,17.63
antidevelopmental,staged,2,2000,ewok_fast,49.09
antidevelopmental,staged,2,2000,supplement_fast,45.6
antidevelopmental,staged,2,2250,blimp_fast,56.37
antidevelopmental,staged,2,2250,entity_tracking_fast,14.57
antidevelopmental,staged,2,2250,ewok_fast,51.0
antidevelopmental,staged,2,2250,supplement_fast,45.6
antidevelopmental,staged,2,2500,blimp_fast,56.69
antidevelopmental,staged,2,2500,entity_tracking_fast,14.69
antidevelopmental,staged,2,2500,ewok_fast,50.18
antidevelopmental,staged,2,2500,supplement_fast,43.6
developmental,competence,0,0,blimp_fast,49.89
developmental,competence,0,0,entity_tracking_fast,42.51
developmental,competence,0,0,ewok_fast,49.45
developmental,competence,0,0,supplement_fast,49.2
developmental,competence,0,250,blimp_fast,50.66
developmental,competence,0,250,entity_tracking_fast,41.61
developmental,competence,0,250,ewok_fast,48.36
developmental,competence,0,250,supplement_fast,45.6
developmental,competence,0,500,blimp_fast,53.11
developmental,competence,0,500,entity_tracking_fast,40.9
developmental,competence,0,500,ewok_fast,48.82
developmental,competence,0,500,supplement_fast,50.0
developmental,competence,0,750,blimp_fast,53.99
developmental,competence,0,750,entity_tracking_fast,41.99
developmental,competence,0,750,ewok_fast,50.91
developmental,competence,0,750,supplement_fast,49.6
developmental,competence,0,1000,blimp_fast,50.03
developmental,competence,0,1000,entity_tracking_fast,42.12
developmental,competence,0,1000,ewok_fast,50.18
developmental,competence,0,1000,supplement_fast,47.2
developmental,competence,0,1250,blimp_fast,53.65
developmental,competence,0,1250,entity_tracking_fast,18.35
developmental,competence,0,1250,ewok_fast,48.91
developmental,competence,0,1250,supplement_fast,46.4
developmental,competence,0,1500,blimp_fast,51.93
developmental,competence,0,1500,entity_tracking_fast,20.56
developmental,competence,0,1500,ewok_fast,49.91
developmental,competence,0,1500,supplement_fast,48.4
developmental,competence,0,1750,blimp_fast,53.82
developmental,competence,0,1750,entity_tracking_fast,20.21
developmental,competence,0,1750,ewok_fast,49.09
developmental,competence,0,1750,supplement_fast,52.0
developmental,competence,0,2000,blimp_fast,52.75
developmental,competence,0,2000,entity_tracking_fast,15.58
developmental,competence,0,2000,ewok_fast,48.09
developmental,competence,0,2000,supplement_fast,45.2
developmental,competence,0,2250,blimp_fast,51.6
developmental,competence,0,2250,entity_tracking_fast,16.11
developmental,competence,0,2250,ewok_fast,50.0
developmental,competence,0,2250,supplement_fast,49.6
developmental,competence,1,0,blimp_fast,50.04
developmental,competence,1,0,entity_tracking_fast,42.77
developmental,competence,1,0,ewok_fast,50.91
developmental,competence,1,0,supplement_fast,47.2
developmental,competence,1,250,blimp_fast,53.48
developmental,competence,1,250,entity_tracking_fast,43.18
developmental,competence,1,250,ewok_fast,47.0
developmental,competence,1,250,supplement_fast,46.8
developmental,competence,1,500,blimp_fast,52.2
developmental,competence,1,500,entity_tracking_fast,42.46
developmental,competence,1,500,ewok_fast,50.73
developmental,competence,1,500,supplement_fast,49.6
developmental,competence,1,750,blimp_fast,52.42
developmental,competence,1,750,entity_tracking_fast,43.16
developmental,competence,1,750,ewok_fast,49.91
developmental,competence,1,750,supplement_fast,45.2
developmental,competence,1,1000,blimp_fast,54.48
developmental,competence,1,1000,entity_tracking_fast,42.97
developmental,competence,1,1000,ewok_fast,49.64
developmental,competence,1,1000,supplement_fast,50.8
developmental,competence,1,1250,blimp_fast,53.43
developmental,competence,1,1250,entity_tracking_fast,42.65
developmental,competence,1,1250,ewok_fast,50.91
developmental,competence,1,1250,supplement_fast,52.4
developmental,competence,1,1500,blimp_fast,52.31
developmental,competence,1,1500,entity_tracking_fast,42.74
developmental,competence,1,1500,ewok_fast,51.45
developmental,competence,1,1500,supplement_fast,48.0
developmental,competence,1,1750,blimp_fast,54.4
developmental,competence,1,1750,entity_tracking_fast,43.57
developmental,competence,1,1750,ewok_fast,51.27
developmental,competence,1,1750,supplement_fast,49.6
developmental,competence,1,2000,blimp_fast,53.8
developmental,competence,1,2000,entity_tracking_fast,44.19
developmental,competence,1,2000,ewok_fast,50.45
developmental,competence,1,2000,supplement_fast,50.0
developmental,competence,1,2250,blimp_fast,53.46
developmental,competence,1,2250,entity_tracking_fast,43.08
developmental,competence,1,2250,ewok_fast,50.82
developmental,competence,1,2250,supplement_fast,46.8
developmental,competence,2,0,blimp_fast,50.72
developmental,competence,2,0,entity_tracking_fast,42.09
developmental,competence,2,0,ewok_fast,51.73
developmental,competence,2,0,supplement_fast,49.2
developmental,competence,2,250,blimp_fast,52.69
developmental,competence,2,250,entity_tracking_fast,32.89
developmental,competence,2,250,ewok_fast,51.55
developmental,competence,2,250,supplement_fast,46.4
developmental,competence,2,500,blimp_fast,56.05
developmental,competence,2,500,entity_tracking_fast,36.72
developmental,competence,2,500,ewok_fast,47.45
developmental,competence,2,500,supplement_fast,44.8
developmental,competence,2,750,blimp_fast,53.57
developmental,competence,2,750,entity_tracking_fast,42.02
developmental,competence,2,750,ewok_fast,50.0
developmental,competence,2,750,supplement_fast,48.8
developmental,competence,2,1000,blimp_fast,56.26
developmental,competence,2,1000,entity_tracking_fast,11.28
developmental,competence,2,1000,ewok_fast,49.18
developmental,competence,2,1000,supplement_fast,47.2
developmental,competence,2,1250,blimp_fast,56.05
developmental,competence,2,1250,entity_tracking_fast,17.73
developmental,competence,2,1250,ewok_fast,47.55
developmental,competence,2,1250,supplement_fast,48.0
developmental,competence,2,1500,blimp_fast,55.93
developmental,competence,2,1500,entity_tracking_fast,23.58
developmental,competence,2,1500,ewok_fast,48.73
developmental,competence,2,1500,supplement_fast,52.4
developmental,competence,2,1750,blimp_fast,55.49
developmental,competence,2,1750,entity_tracking_fast,22.77
developmental,competence,2,1750,ewok_fast,49.09
developmental,competence,2,1750,supplement_fast,46.4
developmental,competence,2,2000,blimp_fast,54.75
developmental,competence,2,2000,entity_tracking_fast,29.05
developmental,competence,2,2000,ewok_fast,47.64
developmental,competence,2,2000,supplement_fast,44.0
developmental,competence,2,2250,blimp_fast,55.42
developmental,competence,2,2250,entity_tracking_fast,39.23
developmental,competence,2,2250,ewok_fast,46.27
developmental,competence,2,2250,supplement_fast,47.6
developmental,staged,0,0,blimp_fast,49.91
developmental,staged,0,0,entity_tracking_fast,42.57
developmental,staged,0,0,ewok_fast,49.36
developmental,staged,0,0,supplement_fast,49.2
developmental,staged,0,250,blimp_fast,54.64
developmental,staged,0,250,entity_tracking_fast,40.23
developmental,staged,0,250,ewok_fast,50.82
developmental,staged,0,250,supplement_fast,50.8
developmental,staged,0,500,blimp_fast,51.33
developmental,staged,0,500,entity_tracking_fast,40.32
developmental,staged,0,500,ewok_fast,52.09
developmental,staged,0,500,supplement_fast,48.8
developmental,staged,0,750,blimp_fast,57.3
developmental,staged,0,750,entity_tracking_fast,34.03
developmental,staged,0,750,ewok_fast,50.82
developmental,staged,0,750,supplement_fast,54.4
developmental,staged,0,1000,blimp_fast,53.69
developmental,staged,0,1000,entity_tracking_fast,16.38
developmental,staged,0,1000,ewok_fast,51.0
developmental,staged,0,1000,supplement_fast,51.6
developmental,staged,0,1250,blimp_fast,54.26
developmental,staged,0,1250,entity_tracking_fast,44.16
developmental,staged,0,1250,ewok_fast,51.82
developmental,staged,0,1250,supplement_fast,50.8
developmental,staged,0,1500,blimp_fast,52.5
developmental,staged,0,1500,entity_tracking_fast,40.41
